2022-09-30 21:39:13,654 [Worker-2: Creating project "casestudy"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hepsiburada:casestudy:0.0.1-SNAPSHOT @ C:\Users\freedevs\eclipse-workspace\casestudy\casestudy\pom.xml.
2022-09-30 21:43:45,169 [Worker-0: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:44:04,128 [Worker-0: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-09-30 21:44:04,976 [Worker-0: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hepsiburada:casestudy:0.0.1-SNAPSHOT @ C:\Users\freedevs\eclipse-workspace\casestudy\casestudy\pom.xml.
2022-09-30 21:44:05,604 [Worker-0: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /casestudy/src/main/java
2022-09-30 21:44:05,607 [Worker-0: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /casestudy/src/main/resources
2022-09-30 21:44:05,609 [Worker-0: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /casestudy/src/test/java
2022-09-30 21:44:05,609 [Worker-0: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /casestudy/src/test/resources
2022-09-30 21:44:06,608 [Worker-0: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2022-09-30 21:44:07,280 [Worker-9: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:44:07,283 [Worker-9: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-09-30 21:44:07,445 [Worker-9: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:44:07,447 [Worker-9: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:44:29,954 [Worker-7: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_casestudy] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\freedevs\eclipse-workspace\casestudy\casestudy
2022-09-30 21:44:29,958 [Worker-7: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_casestudy] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2022-09-30 21:44:40,421 [Worker-5: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:44:40,427 [Worker-5: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:44:40,429 [Worker-5: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:44:40,432 [Worker-5: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:45:03,293 [Worker-0: Building] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hepsiburada:casestudy:0.0.1-SNAPSHOT @ C:\Users\freedevs\eclipse-workspace\casestudy\hepsiburadaCaseStudy\pom.xml.
2022-09-30 21:45:04,135 [Worker-0: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:04,139 [Worker-0: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-09-30 21:45:04,312 [Worker-0: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:04,314 [Worker-0: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:45:07,447 [Worker-2: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:07,454 [Worker-2: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-09-30 21:45:07,704 [Worker-2: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:07,707 [Worker-2: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:45:08,056 [Worker-0: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\freedevs\eclipse-workspace\casestudy\hepsiburadaCaseStudy
2022-09-30 21:45:08,056 [Worker-0: Launching Executing test in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2022-09-30 21:45:25,336 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:25,338 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:45:25,341 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:25,343 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:45:35,722 [Worker-8: Launching Executing clean in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\freedevs\eclipse-workspace\casestudy\hepsiburadaCaseStudy
2022-09-30 21:45:35,722 [Worker-8: Launching Executing clean in C__Users_freedevs_eclipse-workspace_casestudy_hepsiburadaCaseStudy] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2022-09-30 21:45:43,716 [Worker-5: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:45:43,719 [Worker-5: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-09-30 21:45:43,848 [Worker-5: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
